step,avg_drugs_lost,avg_all3_lost,parameter_comb,strategy
730,0,0,1,equal allocation
1000,0,0,1,equal allocation
1825,0,0,1,equal allocation
3650,0,0,1,equal allocation
5000,0,0,1,equal allocation
7300,0,0,1,equal allocation
10000,0,0,1,equal allocation
730,0,0,2,equal allocation
1000,0,0,2,equal allocation
1825,0,0,2,equal allocation
3650,0,0,2,equal allocation
5000,0,0,2,equal allocation
7300,0,0,2,equal allocation
10000,0,0,2,equal allocation
730,0,0,3,equal allocation
1000,0,0,3,equal allocation
1825,0,0,3,equal allocation
3650,0,0,3,equal allocation
5000,0,0,3,equal allocation
7300,0.04,0,3,equal allocation
10000,0.13,0,3,equal allocation
730,0,0,4,equal allocation
1000,0,0,4,equal allocation
1825,0,0,4,equal allocation
3650,0,0,4,equal allocation
5000,0,0,4,equal allocation
7300,0,0,4,equal allocation
10000,0,0,4,equal allocation
730,0,0,5,equal allocation
1000,0,0,5,equal allocation
1825,0,0,5,equal allocation
3650,0,0,5,equal allocation
5000,0,0,5,equal allocation
7300,0,0,5,equal allocation
10000,0,0,5,equal allocation
730,0,0,6,equal allocation
1000,0,0,6,equal allocation
1825,0,0,6,equal allocation
3650,0,0,6,equal allocation
5000,0,0,6,equal allocation
7300,0,0,6,equal allocation
10000,0,0,6,equal allocation
730,0,0,7,equal allocation
1000,0,0,7,equal allocation
1825,0,0,7,equal allocation
3650,0,0,7,equal allocation
5000,0,0,7,equal allocation
7300,0,0,7,equal allocation
10000,0,0,7,equal allocation
730,0,0,8,equal allocation
1000,0,0,8,equal allocation
1825,0,0,8,equal allocation
3650,0,0,8,equal allocation
5000,0.1,0,8,equal allocation
7300,0.78,0.03,8,equal allocation
10000,1.25,0.08,8,equal allocation
730,0,0,9,equal allocation
1000,0,0,9,equal allocation
1825,0,0,9,equal allocation
3650,0,0,9,equal allocation
5000,0,0,9,equal allocation
7300,0,0,9,equal allocation
10000,0,0,9,equal allocation
730,0,0,10,equal allocation
1000,0,0,10,equal allocation
1825,0,0,10,equal allocation
3650,0.04,0,10,equal allocation
5000,0.21,0,10,equal allocation
7300,0.62,0,10,equal allocation
10000,0.97,0,10,equal allocation
730,0,0,11,equal allocation
1000,0,0,11,equal allocation
1825,0,0,11,equal allocation
3650,0,0,11,equal allocation
5000,0,0,11,equal allocation
7300,0,0,11,equal allocation
10000,0,0,11,equal allocation
730,0,0,12,equal allocation
1000,0,0,12,equal allocation
1825,0,0,12,equal allocation
3650,0,0,12,equal allocation
5000,0.02,0,12,equal allocation
7300,0.08,0,12,equal allocation
10000,0.24,0,12,equal allocation
730,0,0,13,equal allocation
1000,0,0,13,equal allocation
1825,0,0,13,equal allocation
3650,0,0,13,equal allocation
5000,0,0,13,equal allocation
7300,0,0,13,equal allocation
10000,0.01,0,13,equal allocation
730,0,0,14,equal allocation
1000,0,0,14,equal allocation
1825,0,0,14,equal allocation
3650,0,0,14,equal allocation
5000,0,0,14,equal allocation
7300,0,0,14,equal allocation
10000,0,0,14,equal allocation
730,0,0,15,equal allocation
1000,0,0,15,equal allocation
1825,0,0,15,equal allocation
3650,0,0,15,equal allocation
5000,0,0,15,equal allocation
7300,0,0,15,equal allocation
10000,0,0,15,equal allocation
730,0,0,16,equal allocation
1000,0,0,16,equal allocation
1825,0,0,16,equal allocation
3650,0,0,16,equal allocation
5000,0,0,16,equal allocation
7300,0,0,16,equal allocation
10000,0,0,16,equal allocation
730,0,0,17,equal allocation
1000,0,0,17,equal allocation
1825,0,0,17,equal allocation
3650,0,0,17,equal allocation
5000,0,0,17,equal allocation
7300,0,0,17,equal allocation
10000,0,0,17,equal allocation
730,0,0,18,equal allocation
1000,0,0,18,equal allocation
1825,0,0,18,equal allocation
3650,0,0,18,equal allocation
5000,0,0,18,equal allocation
7300,0,0,18,equal allocation
10000,0.05,0,18,equal allocation
730,0,0,19,equal allocation
1000,0,0,19,equal allocation
1825,0,0,19,equal allocation
3650,0,0,19,equal allocation
5000,0,0,19,equal allocation
7300,0,0,19,equal allocation
10000,0,0,19,equal allocation
730,0,0,20,equal allocation
1000,0,0,20,equal allocation
1825,0,0,20,equal allocation
3650,0,0,20,equal allocation
5000,0,0,20,equal allocation
7300,0,0,20,equal allocation
10000,0,0,20,equal allocation
730,0,0,21,equal allocation
1000,0,0,21,equal allocation
1825,0,0,21,equal allocation
3650,0,0,21,equal allocation
5000,0,0,21,equal allocation
7300,0,0,21,equal allocation
10000,0,0,21,equal allocation
730,0,0,22,equal allocation
1000,0,0,22,equal allocation
1825,0,0,22,equal allocation
3650,0,0,22,equal allocation
5000,0,0,22,equal allocation
7300,0,0,22,equal allocation
10000,0,0,22,equal allocation
730,0,0,23,equal allocation
1000,0,0,23,equal allocation
1825,0,0,23,equal allocation
3650,0,0,23,equal allocation
5000,0.03,0,23,equal allocation
7300,0.27,0,23,equal allocation
10000,0.52,0,23,equal allocation
730,0,0,24,equal allocation
1000,0,0,24,equal allocation
1825,0,0,24,equal allocation
3650,0.03,0,24,equal allocation
5000,0.1,0,24,equal allocation
7300,0.42,0,24,equal allocation
10000,0.66,0,24,equal allocation
