step,avg_drugs_lost,avg_all3_lost,parameter_comb,strategy
730,0,0,1,sequential
1000,0,0,1,sequential
1825,0,0,1,sequential
3650,0,0,1,sequential
5000,0,0,1,sequential
7300,0,0,1,sequential
10000,0,0,1,sequential
730,0,0,2,sequential
1000,0,0,2,sequential
1825,0,0,2,sequential
3650,0,0,2,sequential
5000,0,0,2,sequential
7300,0,0,2,sequential
10000,0,0,2,sequential
730,0,0,3,sequential
1000,0,0,3,sequential
1825,0.91,0,3,sequential
3650,1.07,0,3,sequential
5000,1.09,0,3,sequential
7300,1.2,0.05,3,sequential
10000,1.37,0.13,3,sequential
730,0,0,4,sequential
1000,0,0,4,sequential
1825,0,0,4,sequential
3650,0,0,4,sequential
5000,0,0,4,sequential
7300,0,0,4,sequential
10000,0,0,4,sequential
730,0,0,5,sequential
1000,0,0,5,sequential
1825,0,0,5,sequential
3650,0,0,5,sequential
5000,0,0,5,sequential
7300,0,0,5,sequential
10000,0,0,5,sequential
730,0,0,6,sequential
1000,0,0,6,sequential
1825,0,0,6,sequential
3650,0,0,6,sequential
5000,0,0,6,sequential
7300,0,0,6,sequential
10000,0,0,6,sequential
730,0,0,7,sequential
1000,0,0,7,sequential
1825,0,0,7,sequential
3650,0,0,7,sequential
5000,0,0,7,sequential
7300,0,0,7,sequential
10000,0,0,7,sequential
730,0,0,8,sequential
1000,0,0,8,sequential
1825,0.5,0,8,sequential
3650,0.85,0.02,8,sequential
5000,0.99,0.11,8,sequential
7300,1.11,0.12,8,sequential
10000,1.19,0.16,8,sequential
730,0,0,9,sequential
1000,0,0,9,sequential
1825,0,0,9,sequential
3650,0.11,0,9,sequential
5000,0.52,0,9,sequential
7300,0.97,0,9,sequential
10000,1,0,9,sequential
730,0,0,10,sequential
1000,0.06,0,10,sequential
1825,0.87,0,10,sequential
3650,1,0,10,sequential
5000,1,0,10,sequential
7300,1,0,10,sequential
10000,1,0,10,sequential
730,0,0,11,sequential
1000,0,0,11,sequential
1825,0,0,11,sequential
3650,0.07,0,11,sequential
5000,0.36,0,11,sequential
7300,0.83,0,11,sequential
10000,0.97,0,11,sequential
730,0,0,12,sequential
1000,0.01,0,12,sequential
1825,0.78,0,12,sequential
3650,0.9,0,12,sequential
5000,0.92,0,12,sequential
7300,0.92,0,12,sequential
10000,0.92,0,12,sequential
730,0,0,13,sequential
1000,0,0,13,sequential
1825,0,0,13,sequential
3650,0,0,13,sequential
5000,0,0,13,sequential
7300,0,0,13,sequential
10000,0,0,13,sequential
730,0,0,14,sequential
1000,0,0,14,sequential
1825,0,0,14,sequential
3650,0,0,14,sequential
5000,0,0,14,sequential
7300,0,0,14,sequential
10000,0,0,14,sequential
730,0,0,15,sequential
1000,0,0,15,sequential
1825,0.3,0,15,sequential
3650,0.95,0,15,sequential
5000,1,0,15,sequential
7300,1.02,0,15,sequential
10000,1.08,0,15,sequential
730,0,0,16,sequential
1000,0,0,16,sequential
1825,0,0,16,sequential
3650,0.13,0,16,sequential
5000,0.63,0,16,sequential
7300,0.97,0,16,sequential
10000,1,0,16,sequential
730,0,0,17,sequential
1000,0,0,17,sequential
1825,0,0,17,sequential
3650,0,0,17,sequential
5000,0,0,17,sequential
7300,0,0,17,sequential
10000,0,0,17,sequential
730,0,0,18,sequential
1000,0,0,18,sequential
1825,0,0,18,sequential
3650,0,0,18,sequential
5000,0,0,18,sequential
7300,0,0,18,sequential
10000,0,0,18,sequential
730,0,0,19,sequential
1000,0,0,19,sequential
1825,0,0,19,sequential
3650,0,0,19,sequential
5000,0,0,19,sequential
7300,0,0,19,sequential
10000,0,0,19,sequential
730,0,0,20,sequential
1000,0,0,20,sequential
1825,0,0,20,sequential
3650,0,0,20,sequential
5000,0,0,20,sequential
7300,0,0,20,sequential
10000,0,0,20,sequential
730,0,0,21,sequential
1000,0,0,21,sequential
1825,0,0,21,sequential
3650,0.03,0,21,sequential
5000,0.23,0,21,sequential
7300,0.44,0,21,sequential
10000,0.64,0,21,sequential
730,0,0,22,sequential
1000,0,0,22,sequential
1825,0,0,22,sequential
3650,0,0,22,sequential
5000,0,0,22,sequential
7300,0,0,22,sequential
10000,0,0,22,sequential
730,0,0,23,sequential
1000,0,0,23,sequential
1825,0,0,23,sequential
3650,0,0,23,sequential
5000,0,0,23,sequential
7300,0,0,23,sequential
10000,0,0,23,sequential
730,0,0,24,sequential
1000,0,0,24,sequential
1825,0,0,24,sequential
3650,0,0,24,sequential
5000,0,0,24,sequential
7300,0,0,24,sequential
10000,0,0,24,sequential
730,0,0,25,sequential
1000,0,0,25,sequential
1825,0,0,25,sequential
3650,0,0,25,sequential
5000,0,0,25,sequential
7300,0,0,25,sequential
10000,0,0,25,sequential
730,0,0,26,sequential
1000,0,0,26,sequential
1825,0,0,26,sequential
3650,0,0,26,sequential
5000,0,0,26,sequential
7300,0,0,26,sequential
10000,0,0,26,sequential
730,0,0,27,sequential
1000,0,0,27,sequential
1825,0,0,27,sequential
3650,0,0,27,sequential
5000,0,0,27,sequential
7300,0,0,27,sequential
10000,0,0,27,sequential
730,0,0,28,sequential
1000,0,0,28,sequential
1825,0,0,28,sequential
3650,0,0,28,sequential
5000,0,0,28,sequential
7300,0,0,28,sequential
10000,0,0,28,sequential
730,0,0,29,sequential
1000,0,0,29,sequential
1825,0,0,29,sequential
3650,0,0,29,sequential
5000,0,0,29,sequential
7300,0,0,29,sequential
10000,0,0,29,sequential
730,0,0,30,sequential
1000,0,0,30,sequential
1825,0,0,30,sequential
3650,0,0,30,sequential
5000,0,0,30,sequential
7300,0,0,30,sequential
10000,0,0,30,sequential
730,0,0,31,sequential
1000,0,0,31,sequential
1825,0,0,31,sequential
3650,0,0,31,sequential
5000,0,0,31,sequential
7300,0,0,31,sequential
10000,0,0,31,sequential
730,0,0,32,sequential
1000,0,0,32,sequential
1825,0,0,32,sequential
3650,0,0,32,sequential
5000,0,0,32,sequential
7300,0,0,32,sequential
10000,0,0,32,sequential
730,0,0,33,sequential
1000,0,0,33,sequential
1825,0,0,33,sequential
3650,0,0,33,sequential
5000,0,0,33,sequential
7300,0,0,33,sequential
10000,0,0,33,sequential
730,0,0,34,sequential
1000,0,0,34,sequential
1825,0,0,34,sequential
3650,0,0,34,sequential
5000,0,0,34,sequential
7300,0,0,34,sequential
10000,0,0,34,sequential
730,0,0,35,sequential
1000,0,0,35,sequential
1825,0,0,35,sequential
3650,0,0,35,sequential
5000,0,0,35,sequential
7300,0,0,35,sequential
10000,0,0,35,sequential
730,0,0,36,sequential
1000,0,0,36,sequential
1825,0,0,36,sequential
3650,0,0,36,sequential
5000,0,0,36,sequential
7300,0,0,36,sequential
10000,0,0,36,sequential
730,0,0,37,sequential
1000,0,0,37,sequential
1825,0,0,37,sequential
3650,0.92,0,37,sequential
5000,1,0,37,sequential
7300,1,0,37,sequential
10000,1,0,37,sequential
730,0,0,38,sequential
1000,0,0,38,sequential
1825,0,0,38,sequential
3650,0,0,38,sequential
5000,0,0,38,sequential
7300,0,0,38,sequential
10000,0,0,38,sequential
730,0,0,39,sequential
1000,0,0,39,sequential
1825,0,0,39,sequential
3650,0,0,39,sequential
5000,0,0,39,sequential
7300,0,0,39,sequential
10000,0,0,39,sequential
730,0,0,40,sequential
1000,0.01,0,40,sequential
1825,0.66,0,40,sequential
3650,1,0,40,sequential
5000,1,0,40,sequential
7300,1.04,0,40,sequential
10000,1.08,0,40,sequential
730,0,0,41,sequential
1000,0,0,41,sequential
1825,0,0,41,sequential
3650,0,0,41,sequential
5000,0,0,41,sequential
7300,0,0,41,sequential
10000,0,0,41,sequential
730,0,0,42,sequential
1000,0,0,42,sequential
1825,0.94,0,42,sequential
3650,1,0,42,sequential
5000,1,0,42,sequential
7300,1.15,0,42,sequential
10000,1.34,0,42,sequential
730,0,0,43,sequential
1000,0,0,43,sequential
1825,0.13,0,43,sequential
3650,0.86,0,43,sequential
5000,0.98,0,43,sequential
7300,1,0,43,sequential
10000,1,0,43,sequential
730,0,0,44,sequential
1000,0,0,44,sequential
1825,0,0,44,sequential
3650,0,0,44,sequential
5000,0,0,44,sequential
7300,0,0,44,sequential
10000,0,0,44,sequential
730,0,0,45,sequential
1000,0,0,45,sequential
1825,0,0,45,sequential
3650,0,0,45,sequential
5000,0,0,45,sequential
7300,0,0,45,sequential
10000,0,0,45,sequential
730,0,0,46,sequential
1000,0,0,46,sequential
1825,0.02,0,46,sequential
3650,0.58,0,46,sequential
5000,0.65,0,46,sequential
7300,0.7,0,46,sequential
10000,0.7,0,46,sequential
730,0,0,47,sequential
1000,0,0,47,sequential
1825,0,0,47,sequential
3650,0,0,47,sequential
5000,0,0,47,sequential
7300,0,0,47,sequential
10000,0,0,47,sequential
730,0,0,48,sequential
1000,0,0,48,sequential
1825,0,0,48,sequential
3650,0,0,48,sequential
5000,0,0,48,sequential
7300,0,0,48,sequential
10000,0,0,48,sequential
730,0,0,49,sequential
1000,0,0,49,sequential
1825,0,0,49,sequential
3650,0,0,49,sequential
5000,0,0,49,sequential
7300,0,0,49,sequential
10000,0,0,49,sequential
730,0,0,50,sequential
1000,0,0,50,sequential
1825,0.02,0,50,sequential
3650,0.65,0,50,sequential
5000,0.72,0,50,sequential
7300,0.75,0,50,sequential
10000,0.76,0,50,sequential
730,0,0,51,sequential
1000,0,0,51,sequential
1825,0,0,51,sequential
3650,0,0,51,sequential
5000,0,0,51,sequential
7300,0,0,51,sequential
10000,0,0,51,sequential
730,0,0,52,sequential
1000,0,0,52,sequential
1825,0,0,52,sequential
3650,0,0,52,sequential
5000,0,0,52,sequential
7300,0,0,52,sequential
10000,0,0,52,sequential
730,0,0,53,sequential
1000,0,0,53,sequential
1825,0.12,0,53,sequential
3650,0.63,0,53,sequential
5000,0.71,0,53,sequential
7300,0.78,0,53,sequential
10000,0.83,0,53,sequential
730,0,0,54,sequential
1000,0,0,54,sequential
1825,0,0,54,sequential
3650,0,0,54,sequential
5000,0,0,54,sequential
7300,0,0,54,sequential
10000,0,0,54,sequential
730,0,0,55,sequential
1000,0,0,55,sequential
1825,0,0,55,sequential
3650,0.05,0,55,sequential
5000,0.51,0,55,sequential
7300,0.98,0,55,sequential
10000,0.99,0,55,sequential
730,0,0,56,sequential
1000,0,0,56,sequential
1825,0,0,56,sequential
3650,0,0,56,sequential
5000,0,0,56,sequential
7300,0,0,56,sequential
10000,0,0,56,sequential
730,0,0,57,sequential
1000,0,0,57,sequential
1825,0,0,57,sequential
3650,0,0,57,sequential
5000,0,0,57,sequential
7300,0,0,57,sequential
10000,0,0,57,sequential
730,0,0,58,sequential
1000,0,0,58,sequential
1825,0,0,58,sequential
3650,0,0,58,sequential
5000,0,0,58,sequential
7300,0,0,58,sequential
10000,0,0,58,sequential
730,0,0,59,sequential
1000,0,0,59,sequential
1825,0,0,59,sequential
3650,0,0,59,sequential
5000,0,0,59,sequential
7300,0,0,59,sequential
10000,0.01,0,59,sequential
730,0,0,60,sequential
1000,0.03,0,60,sequential
1825,0.97,0,60,sequential
3650,1,0,60,sequential
5000,1,0,60,sequential
7300,1,0,60,sequential
10000,1.07,0,60,sequential
730,0,0,61,sequential
1000,0,0,61,sequential
1825,0,0,61,sequential
3650,0,0,61,sequential
5000,0,0,61,sequential
7300,0.06,0,61,sequential
