step,parameter_comb,strategy,prop_runs_prevA_above
730,1,sequential,0
1000,1,sequential,0
1825,1,sequential,0
3650,1,sequential,0
5000,1,sequential,0
7300,1,sequential,0
10000,1,sequential,0
730,2,sequential,0
1000,2,sequential,0
1825,2,sequential,0
3650,2,sequential,0
5000,2,sequential,0
7300,2,sequential,0
10000,2,sequential,0
730,3,sequential,0
1000,3,sequential,0
1825,3,sequential,0.91
3650,3,sequential,1
5000,3,sequential,1
7300,3,sequential,1
10000,3,sequential,1
730,4,sequential,0
1000,4,sequential,0
1825,4,sequential,0
3650,4,sequential,0
5000,4,sequential,0
7300,4,sequential,0
10000,4,sequential,0
730,5,sequential,0
1000,5,sequential,0
1825,5,sequential,0
3650,5,sequential,0
5000,5,sequential,0
7300,5,sequential,0
10000,5,sequential,0
730,6,sequential,0
1000,6,sequential,0
1825,6,sequential,0
3650,6,sequential,0
5000,6,sequential,0
7300,6,sequential,0
10000,6,sequential,0
730,7,sequential,0
1000,7,sequential,0
1825,7,sequential,0
3650,7,sequential,0
5000,7,sequential,0
7300,7,sequential,0
10000,7,sequential,0
730,8,sequential,0
1000,8,sequential,0
1825,8,sequential,0.5
3650,8,sequential,0.72
5000,8,sequential,0.77
7300,8,sequential,0.84
10000,8,sequential,0.87
730,9,sequential,0
1000,9,sequential,0
1825,9,sequential,0
3650,9,sequential,0.11
5000,9,sequential,0.52
7300,9,sequential,0.97
10000,9,sequential,1
730,10,sequential,0
1000,10,sequential,0.06
1825,10,sequential,0.87
3650,10,sequential,1
5000,10,sequential,1
7300,10,sequential,1
10000,10,sequential,1
730,11,sequential,0
1000,11,sequential,0
1825,11,sequential,0
3650,11,sequential,0.07
5000,11,sequential,0.36
7300,11,sequential,0.83
10000,11,sequential,0.97
730,12,sequential,0
1000,12,sequential,0.01
1825,12,sequential,0.78
3650,12,sequential,0.9
5000,12,sequential,0.92
7300,12,sequential,0.92
10000,12,sequential,0.92
730,13,sequential,0
1000,13,sequential,0
1825,13,sequential,0
3650,13,sequential,0
5000,13,sequential,0
7300,13,sequential,0
10000,13,sequential,0
730,14,sequential,0
1000,14,sequential,0
1825,14,sequential,0
3650,14,sequential,0
5000,14,sequential,0
7300,14,sequential,0
10000,14,sequential,0
730,15,sequential,0
1000,15,sequential,0
1825,15,sequential,0.3
3650,15,sequential,0.95
5000,15,sequential,1
7300,15,sequential,1
10000,15,sequential,1
730,16,sequential,0
1000,16,sequential,0
1825,16,sequential,0
3650,16,sequential,0.13
5000,16,sequential,0.63
7300,16,sequential,0.97
10000,16,sequential,1
730,17,sequential,0
1000,17,sequential,0
1825,17,sequential,0
3650,17,sequential,0
5000,17,sequential,0
7300,17,sequential,0
10000,17,sequential,0
730,18,sequential,0
1000,18,sequential,0
1825,18,sequential,0
3650,18,sequential,0
5000,18,sequential,0
7300,18,sequential,0
10000,18,sequential,0
730,19,sequential,0
1000,19,sequential,0
1825,19,sequential,0
3650,19,sequential,0
5000,19,sequential,0
7300,19,sequential,0
10000,19,sequential,0
730,20,sequential,0
1000,20,sequential,0
1825,20,sequential,0
3650,20,sequential,0
5000,20,sequential,0
7300,20,sequential,0
10000,20,sequential,0
730,21,sequential,0
1000,21,sequential,0
1825,21,sequential,0
3650,21,sequential,0.03
5000,21,sequential,0.23
7300,21,sequential,0.44
10000,21,sequential,0.64
730,22,sequential,0
1000,22,sequential,0
1825,22,sequential,0
3650,22,sequential,0
5000,22,sequential,0
7300,22,sequential,0
10000,22,sequential,0
730,23,sequential,0
1000,23,sequential,0
1825,23,sequential,0
3650,23,sequential,0
5000,23,sequential,0
7300,23,sequential,0
10000,23,sequential,0
730,24,sequential,0
1000,24,sequential,0
1825,24,sequential,0
3650,24,sequential,0
5000,24,sequential,0
7300,24,sequential,0
10000,24,sequential,0
730,25,sequential,0
1000,25,sequential,0
1825,25,sequential,0
3650,25,sequential,0
5000,25,sequential,0
7300,25,sequential,0
10000,25,sequential,0
730,26,sequential,0
1000,26,sequential,0
1825,26,sequential,0
3650,26,sequential,0
5000,26,sequential,0
7300,26,sequential,0
10000,26,sequential,0
730,27,sequential,0
1000,27,sequential,0
1825,27,sequential,0
3650,27,sequential,0
5000,27,sequential,0
7300,27,sequential,0
10000,27,sequential,0
730,28,sequential,0
1000,28,sequential,0
1825,28,sequential,0
3650,28,sequential,0
5000,28,sequential,0
7300,28,sequential,0
10000,28,sequential,0
730,29,sequential,0
1000,29,sequential,0
1825,29,sequential,0
3650,29,sequential,0
5000,29,sequential,0
7300,29,sequential,0
10000,29,sequential,0
730,30,sequential,0
1000,30,sequential,0
1825,30,sequential,0
3650,30,sequential,0
5000,30,sequential,0
7300,30,sequential,0
10000,30,sequential,0
730,31,sequential,0
1000,31,sequential,0
1825,31,sequential,0
3650,31,sequential,0
5000,31,sequential,0
7300,31,sequential,0
10000,31,sequential,0
730,32,sequential,0
1000,32,sequential,0
1825,32,sequential,0
3650,32,sequential,0
5000,32,sequential,0
7300,32,sequential,0
10000,32,sequential,0
730,33,sequential,0
1000,33,sequential,0
1825,33,sequential,0
3650,33,sequential,0
5000,33,sequential,0
7300,33,sequential,0
10000,33,sequential,0
730,34,sequential,0
1000,34,sequential,0
1825,34,sequential,0
3650,34,sequential,0
5000,34,sequential,0
7300,34,sequential,0
10000,34,sequential,0
730,35,sequential,0
1000,35,sequential,0
1825,35,sequential,0
3650,35,sequential,0
5000,35,sequential,0
7300,35,sequential,0
10000,35,sequential,0
730,36,sequential,0
1000,36,sequential,0
1825,36,sequential,0
3650,36,sequential,0
5000,36,sequential,0
7300,36,sequential,0
10000,36,sequential,0
730,37,sequential,0
1000,37,sequential,0
1825,37,sequential,0.01
3650,37,sequential,0.92
5000,37,sequential,1
7300,37,sequential,1
10000,37,sequential,1
730,38,sequential,0
1000,38,sequential,0
1825,38,sequential,0
3650,38,sequential,0
5000,38,sequential,0
7300,38,sequential,0
10000,38,sequential,0
730,39,sequential,0
1000,39,sequential,0
1825,39,sequential,0
3650,39,sequential,0
5000,39,sequential,0
7300,39,sequential,0
10000,39,sequential,0
730,40,sequential,0
1000,40,sequential,0.01
1825,40,sequential,0.66
3650,40,sequential,1
5000,40,sequential,1
7300,40,sequential,1
10000,40,sequential,1
730,41,sequential,0
1000,41,sequential,0
1825,41,sequential,0
3650,41,sequential,0
5000,41,sequential,0
7300,41,sequential,0
10000,41,sequential,0
730,42,sequential,0
1000,42,sequential,0
1825,42,sequential,0.94
3650,42,sequential,1
5000,42,sequential,1
7300,42,sequential,1
10000,42,sequential,1
730,43,sequential,0
1000,43,sequential,0
1825,43,sequential,0.13
3650,43,sequential,0.86
5000,43,sequential,0.98
7300,43,sequential,1
10000,43,sequential,1
730,44,sequential,0
1000,44,sequential,0
1825,44,sequential,0
3650,44,sequential,0
5000,44,sequential,0
7300,44,sequential,0
10000,44,sequential,0
730,45,sequential,0
1000,45,sequential,0
1825,45,sequential,0
3650,45,sequential,0
5000,45,sequential,0
7300,45,sequential,0
10000,45,sequential,0
730,46,sequential,0
1000,46,sequential,0
1825,46,sequential,0.02
3650,46,sequential,0.58
5000,46,sequential,0.62
7300,46,sequential,0.63
10000,46,sequential,0.63
730,47,sequential,0
1000,47,sequential,0
1825,47,sequential,0
3650,47,sequential,0
5000,47,sequential,0
7300,47,sequential,0
10000,47,sequential,0
730,48,sequential,0
1000,48,sequential,0
1825,48,sequential,0
3650,48,sequential,0
5000,48,sequential,0
7300,48,sequential,0
10000,48,sequential,0
730,49,sequential,0
1000,49,sequential,0
1825,49,sequential,0
3650,49,sequential,0
5000,49,sequential,0
7300,49,sequential,0
10000,49,sequential,0
730,50,sequential,0
1000,50,sequential,0
1825,50,sequential,0.02
3650,50,sequential,0.65
5000,50,sequential,0.72
7300,50,sequential,0.75
10000,50,sequential,0.76
730,51,sequential,0
1000,51,sequential,0
1825,51,sequential,0
3650,51,sequential,0
5000,51,sequential,0
7300,51,sequential,0
10000,51,sequential,0
730,52,sequential,0
1000,52,sequential,0
