step,parameter_comb,strategy,prop_runs_prevC_above
730,1,equal allocation,0
1000,1,equal allocation,0
1825,1,equal allocation,0
3650,1,equal allocation,0
5000,1,equal allocation,0
7300,1,equal allocation,0
10000,1,equal allocation,0
730,2,equal allocation,0
1000,2,equal allocation,0
1825,2,equal allocation,0
3650,2,equal allocation,0
5000,2,equal allocation,0
7300,2,equal allocation,0
10000,2,equal allocation,0.01
730,3,equal allocation,0
1000,3,equal allocation,0
1825,3,equal allocation,0
3650,3,equal allocation,0
5000,3,equal allocation,0
7300,3,equal allocation,0.68
10000,3,equal allocation,1
730,4,equal allocation,0
1000,4,equal allocation,0
1825,4,equal allocation,0
3650,4,equal allocation,0
5000,4,equal allocation,0
7300,4,equal allocation,0
10000,4,equal allocation,0
730,5,equal allocation,0
1000,5,equal allocation,0
1825,5,equal allocation,0
3650,5,equal allocation,0
5000,5,equal allocation,0
7300,5,equal allocation,0
10000,5,equal allocation,0
730,6,equal allocation,0
1000,6,equal allocation,0
1825,6,equal allocation,0
3650,6,equal allocation,0.7
5000,6,equal allocation,0.99
7300,6,equal allocation,1
10000,6,equal allocation,1
730,7,equal allocation,0
1000,7,equal allocation,0
1825,7,equal allocation,0
3650,7,equal allocation,0
5000,7,equal allocation,0.03
7300,7,equal allocation,0.95
10000,7,equal allocation,1
730,8,equal allocation,0
1000,8,equal allocation,0
1825,8,equal allocation,0
3650,8,equal allocation,0
5000,8,equal allocation,0
7300,8,equal allocation,0
10000,8,equal allocation,0
730,9,equal allocation,0
1000,9,equal allocation,0
1825,9,equal allocation,0
3650,9,equal allocation,0
5000,9,equal allocation,0
7300,9,equal allocation,0
10000,9,equal allocation,0.01
730,10,equal allocation,0
1000,10,equal allocation,0
1825,10,equal allocation,0.9
3650,10,equal allocation,1
5000,10,equal allocation,1
7300,10,equal allocation,1
10000,10,equal allocation,1
730,11,equal allocation,0
1000,11,equal allocation,0
1825,11,equal allocation,0.1
3650,11,equal allocation,0.99
5000,11,equal allocation,1
7300,11,equal allocation,1
10000,11,equal allocation,1
730,12,equal allocation,0
1000,12,equal allocation,0
1825,12,equal allocation,0.01
3650,12,equal allocation,1
5000,12,equal allocation,1
7300,12,equal allocation,1
10000,12,equal allocation,1
730,13,equal allocation,0
1000,13,equal allocation,0
1825,13,equal allocation,0
3650,13,equal allocation,0
5000,13,equal allocation,0
7300,13,equal allocation,0
10000,13,equal allocation,0
730,14,equal allocation,0
1000,14,equal allocation,0
1825,14,equal allocation,0
3650,14,equal allocation,0
5000,14,equal allocation,0
7300,14,equal allocation,0
10000,14,equal allocation,0
730,15,equal allocation,0
1000,15,equal allocation,0
1825,15,equal allocation,0
3650,15,equal allocation,0.02
5000,15,equal allocation,0.03
7300,15,equal allocation,0.48
10000,15,equal allocation,NA
730,16,equal allocation,0
1000,16,equal allocation,0
1825,16,equal allocation,0
3650,16,equal allocation,0
5000,16,equal allocation,0
7300,16,equal allocation,0
10000,16,equal allocation,0
730,17,equal allocation,0
1000,17,equal allocation,0
1825,17,equal allocation,0
3650,17,equal allocation,0
5000,17,equal allocation,0
7300,17,equal allocation,0
10000,17,equal allocation,0
730,18,equal allocation,0
1000,18,equal allocation,0
1825,18,equal allocation,0
3650,18,equal allocation,0
5000,18,equal allocation,0.01
7300,18,equal allocation,0.31
10000,18,equal allocation,0.9
730,19,equal allocation,0
1000,19,equal allocation,0
1825,19,equal allocation,0
3650,19,equal allocation,0
5000,19,equal allocation,0
7300,19,equal allocation,0
10000,19,equal allocation,0
730,20,equal allocation,0
1000,20,equal allocation,0
1825,20,equal allocation,0
3650,20,equal allocation,0
5000,20,equal allocation,0
7300,20,equal allocation,0
10000,20,equal allocation,0.2
730,21,equal allocation,0
1000,21,equal allocation,0
1825,21,equal allocation,0
3650,21,equal allocation,0
5000,21,equal allocation,0
7300,21,equal allocation,0.06
10000,21,equal allocation,0.68
730,22,equal allocation,0
1000,22,equal allocation,0
1825,22,equal allocation,0
3650,22,equal allocation,0
5000,22,equal allocation,0
7300,22,equal allocation,0.3
10000,22,equal allocation,0.98
730,23,equal allocation,0
1000,23,equal allocation,0
1825,23,equal allocation,0
3650,23,equal allocation,0
5000,23,equal allocation,0
7300,23,equal allocation,0
10000,23,equal allocation,0.01
730,24,equal allocation,0
1000,24,equal allocation,0
1825,24,equal allocation,0
3650,24,equal allocation,0
5000,24,equal allocation,0
7300,24,equal allocation,0
10000,24,equal allocation,0
730,25,equal allocation,0
1000,25,equal allocation,0
1825,25,equal allocation,0
3650,25,equal allocation,0
5000,25,equal allocation,0
7300,25,equal allocation,0
10000,25,equal allocation,0
730,26,equal allocation,0
1000,26,equal allocation,0
1825,26,equal allocation,0
3650,26,equal allocation,0
5000,26,equal allocation,0
7300,26,equal allocation,0
10000,26,equal allocation,0
730,27,equal allocation,0
1000,27,equal allocation,0
1825,27,equal allocation,0
3650,27,equal allocation,0
5000,27,equal allocation,0
7300,27,equal allocation,0
10000,27,equal allocation,0
730,28,equal allocation,0
1000,28,equal allocation,0
1825,28,equal allocation,0
3650,28,equal allocation,0
5000,28,equal allocation,0
7300,28,equal allocation,0
10000,28,equal allocation,0
730,29,equal allocation,0
1000,29,equal allocation,0
1825,29,equal allocation,0
3650,29,equal allocation,0
5000,29,equal allocation,0
7300,29,equal allocation,0
10000,29,equal allocation,0.07
730,30,equal allocation,0
1000,30,equal allocation,0
1825,30,equal allocation,0
3650,30,equal allocation,0
5000,30,equal allocation,0
7300,30,equal allocation,0.16
10000,30,equal allocation,0.94
730,31,equal allocation,0
1000,31,equal allocation,0
1825,31,equal allocation,0
3650,31,equal allocation,0
5000,31,equal allocation,0
7300,31,equal allocation,0
10000,31,equal allocation,0
730,32,equal allocation,0
1000,32,equal allocation,0
1825,32,equal allocation,0
3650,32,equal allocation,0
5000,32,equal allocation,0
7300,32,equal allocation,0
10000,32,equal allocation,0.28
730,33,equal allocation,0
1000,33,equal allocation,0
1825,33,equal allocation,0
3650,33,equal allocation,0
5000,33,equal allocation,0
7300,33,equal allocation,0
10000,33,equal allocation,0
730,34,equal allocation,0
1000,34,equal allocation,0
1825,34,equal allocation,0
3650,34,equal allocation,0
5000,34,equal allocation,0
