comb,a_res_start,b_res_start,c_res_start,w_a,w_b,w_c,f_a,f_b,f_c
1,9,5,0,8.027090377252446e-4,2.3008017316738474e-6,1.857849551768044e-5,0.7394140555213671,0.8912633896680782,0.8866932125018211
2,7,8,2,1.932706437717884e-5,3.940665160642182e-6,9.150436569427359e-7,0.5024885399398626,0.8907549989194377,0.8300759827758883
3,3,4,4,2.477366691674642e-4,1.8426240433575544e-6,3.544395923122402e-4,0.9626137127762195,0.9688737519443966,0.8351127189088148
4,0,1,3,1.914053868578786e-6,2.3751423095822194e-7,5.504008460619471e-4,0.6181020999891916,0.9329704268941423,0.5304382277862169
5,8,8,2,9.48981863380725e-6,2.0782274236578828e-6,1.9022501981561744e-4,0.6757796267799567,0.8791352130639134,0.7229027697258862
6,8,7,1,1.1261591588056214e-4,2.136838467017864e-4,1.2063721144403075e-6,0.5044493121403503,0.8358684710074449,0.8261034246267518
7,9,8,3,1.2951801914371003e-6,4.834281876413382e-5,6.438878891499399e-7,0.5951578625361436,0.7393392390201334,0.7257324417654891
8,3,5,7,5.818429283672731e-6,3.2292881453423335e-7,5.842445933066702e-4,0.9824710735417903,0.9962400586620206,0.9778918607756495
9,9,5,1,6.469653347449612e-4,9.323459101754156e-5,1.8273372133851258e-4,0.8033592822807841,0.6795632883580401,0.8588931393487146
10,8,4,8,8.586531495392585e-5,1.4263860686819136e-7,4.012349567919395e-6,0.9793611124783056,0.5005516892408487,0.9992186306223738
11,10,2,1,1.416697556388331e-4,6.300780069689432e-4,2.6039639649882123e-5,0.8185674112866399,0.6580385171506786,0.9341797073043417
12,7,3,4,3.5413706217547154e-6,2.553922821170959e-6,1.220839564260357e-4,0.9778487409967929,0.7074127201859374,0.9373979448140599
13,9,3,10,8.808948203605201e-4,1.9782049491984068e-4,2.8415916467508897e-4,0.7529329200586071,0.5390850566549925,0.9491778521465604
14,1,0,0,7.517788375331193e-7,9.476397240321766e-7,2.7098900715235067e-4,0.6764559490849497,0.5852116014134372,0.839568471493898
15,3,4,5,8.240499971301988e-5,1.0941889282094148e-6,4.590717143783947e-5,0.9326599336552899,0.863923963219393,0.7312837744349381
16,6,8,6,2.6880238662591385e-4,5.258047998330854e-7,2.375510673987603e-4,0.8192122907178709,0.5724878056730377,0.7508021020233864
17,1,10,3,5.994479132749739e-5,1.4042243055792301e-6,1.1001173847832316e-5,0.6355765545922332,0.517709163663676,0.5647757999661844
18,3,3,8,3.218829769499142e-5,1.4274610619782472e-4,1.8334493852580376e-6,0.6870035364453215,0.6521396381069208,0.9637479042353807
