comb,sigma,b,epsilon,c_min,d,T_s,T_m,T_sr,kappa
1,0.10613884571986273,0.4407895302658435,0.711042621006025,140.93683860491066,44.589807725116614,68.84312114942912,0.3166060358504765,1.7163535488639026,0.1520596110089682
2,0.678514549094718,0.21937096105818638,0.3971596193162259,84.24414638251066,149.18945423623362,9.52714892583061,0.2843309092076961,4.182056692671729,0.13492008532281033
3,0.6424935669400729,0.5828866784914862,0.8673869989619125,323.1049578345746,296.8609564110227,42.139901617778,0.9461177094429731,5.352605027798098,0.6101084717409685
4,0.4691028170832433,0.02813369262148626,0.04166364457807504,35.06048139008433,355.14146712656225,6.133046182869468,0.6570837642319967,2.592879571403144,0.7976660015743692
5,0.1230892276884988,0.1666282034520991,0.5249155323226005,211.85926869874146,29.386097964478658,84.27834410349932,0.8326626091331709,1.9719700535491573,0.44894463069713675
6,0.7512993805620354,0.6078959291612264,0.6718426837953739,253.16026017941982,94.81881384579651,15.263165697117802,0.8431770620683674,7.555361804713495,0.4389533155581448
7,0.8385549969351851,0.3947999539969023,0.07831199561734684,106.8315868814245,248.64393255285358,61.745509200711496,0.3672608055404853,6.843985841074725,0.9245680391227361
8,0.09078624916798435,0.8014898566077463,0.5004622704824433,190.64528735278697,240.00991485191693,64.7250920509349,0.04342015833570622,7.277594234254677,0.5936031126647722
9,0.51781095216237,0.34985366531135514,0.8405909140428994,145.91726299360096,311.7237778254915,5.679349150388269,0.8131132349392864,2.144371354152681,0.5467466788697056
10,0.9661332696226891,0.33763362091593446,0.2788717741761357,190.99776779998837,277.79562784494647,23.403490413246676,0.518438581323484,9.14368695230619,0.9458738481281326
11,0.9855227584650275,0.72596000732854,0.6022250760239549,97.99308475411833,49.84447311098594,53.54870311162807,0.18657344940607437,6.1636911699299235,0.07361809987667949
12,0.9143616901719943,0.35083376863971355,0.8499109931089915,178.8356588778764,157.97929621055536,20.418190149231116,0.7388587334237527,5.132416351033608,0.984871923257364
13,0.33960549950250424,0.25306069997977465,0.45668312623212115,298.6133405632749,25.9026470456915,57.381851076134716,0.5761312716039829,5.153069417461985,0.8859322527819313
14,0.43055516919563525,0.06161070210393518,0.9277406731534283,144.71225539281815,104.81418726226036,68.93788713672431,0.3794865370369516,3.5230747934521642,0.2662901416211389
15,0.8745896744346247,0.7341897232087795,0.27786252593854444,363.44743168601394,171.38680562458654,12.312073518444086,0.021196002840064464,6.023623971837573,0.45917072575888596
16,0.7187055466608144,0.27346094138221816,0.053865722288843246,220.57421592817005,161.1811435210155,5.150497756456257,0.0871053300977219,6.958056189045543,0.06182775163394399
17,0.013366837569279597,0.5725671447585337,0.5569069778609556,226.17000046570152,101.3808960491456,29.72221673585195,0.46783007331890986,3.469588152430486,0.28274441910604947
18,0.9107668549150694,0.17943604233022778,0.7793919150868897,313.80013911936726,34.15383215581346,87.84919733950518,0.15780791403958574,4.45871431155526,0.9008176751532592
19,0.04153904554620385,0.014407096999930218,0.4434805489531718,302.54052055573163,364.8895332233859,5.070447384485742,0.4851909377379343,4.122105099528097,0.2168815895621665
20,0.6922488344488665,0.17306801082985476,0.8562717954893596,11.56762455739826,347.1976440061443,53.877016328618396,0.4566622422635555,5.124949606325245,0.3199490874968469
21,0.9163845046297647,0.09783864163584076,0.08348344254586845,250.05064171455803,193.94032596443407,6.197812922229059,0.09573006460885518,9.135331539559179,0.8776619704249315
22,0.5681501370784826,0.9422043112728279,0.4471891939577181,241.42695844673514,115.03022569011524,18.093176021219232,0.7189746147580445,5.610056296709226,0.02932293627760373
