step,avg_lost3,strategy,Years
0,0,equal allocation,0
1,0,equal allocation,0.0027397260273972603
2,0,equal allocation,0.005479452054794521
3,0,equal allocation,0.00821917808219178
4,0,equal allocation,0.010958904109589041
5,0,equal allocation,0.0136986301369863
6,0,equal allocation,0.01643835616438356
7,0,equal allocation,0.019178082191780823
8,0,equal allocation,0.021917808219178082
9,0,equal allocation,0.024657534246575342
10,0,equal allocation,0.0273972602739726
11,0,equal allocation,0.030136986301369864
12,0,equal allocation,0.03287671232876712
13,0,equal allocation,0.03561643835616438
14,0,equal allocation,0.038356164383561646
15,0,equal allocation,0.0410958904109589
16,0,equal allocation,0.043835616438356165
17,0,equal allocation,0.04657534246575343
18,0,equal allocation,0.049315068493150684
19,0,equal allocation,0.052054794520547946
20,0,equal allocation,0.0547945205479452
21,0,equal allocation,0.057534246575342465
22,0,equal allocation,0.06027397260273973
23,0,equal allocation,0.06301369863013699
24,0,equal allocation,0.06575342465753424
25,0,equal allocation,0.0684931506849315
26,0,equal allocation,0.07123287671232877
27,0,equal allocation,0.07397260273972603
28,0,equal allocation,0.07671232876712329
29,0,equal allocation,0.07945205479452055
30,0,equal allocation,0.0821917808219178
31,0,equal allocation,0.08493150684931507
32,0,equal allocation,0.08767123287671233
33,0,equal allocation,0.09041095890410959
34,0,equal allocation,0.09315068493150686
35,0,equal allocation,0.0958904109589041
36,0,equal allocation,0.09863013698630137
37,0,equal allocation,0.10136986301369863
38,0,equal allocation,0.10410958904109589
39,0,equal allocation,0.10684931506849316
40,0,equal allocation,0.1095890410958904
41,0,equal allocation,0.11232876712328767
42,0,equal allocation,0.11506849315068493
43,0,equal allocation,0.1178082191780822
44,0,equal allocation,0.12054794520547946
45,0,equal allocation,0.1232876712328767
46,0,equal allocation,0.12602739726027398
47,0,equal allocation,0.12876712328767123
48,0,equal allocation,0.13150684931506848
49,0,equal allocation,0.13424657534246576
50,0,equal allocation,0.136986301369863
51,0,equal allocation,0.13972602739726028
52,0,equal allocation,0.14246575342465753
53,0,equal allocation,0.14520547945205478
54,0,equal allocation,0.14794520547945206
55,0,equal allocation,0.1506849315068493
56,0,equal allocation,0.15342465753424658
57,0,equal allocation,0.15616438356164383
58,0,equal allocation,0.1589041095890411
59,0,equal allocation,0.16164383561643836
60,0,equal allocation,0.1643835616438356
61,0,equal allocation,0.16712328767123288
62,0,equal allocation,0.16986301369863013
63,0,equal allocation,0.1726027397260274
64,0,equal allocation,0.17534246575342466
65,0,equal allocation,0.1780821917808219
66,0,equal allocation,0.18082191780821918
67,0,equal allocation,0.18356164383561643
68,0,equal allocation,0.1863013698630137
69,0,equal allocation,0.18904109589041096
70,0,equal allocation,0.1917808219178082
71,0,equal allocation,0.19452054794520549
72,0,equal allocation,0.19726027397260273
73,0,equal allocation,0.2
74,0,equal allocation,0.20273972602739726
75,0,equal allocation,0.2054794520547945
76,0,equal allocation,0.20821917808219179
77,0,equal allocation,0.21095890410958903
78,0,equal allocation,0.2136986301369863
79,0,equal allocation,0.21643835616438356
80,0,equal allocation,0.2191780821917808
81,0,equal allocation,0.2219178082191781
82,0,equal allocation,0.22465753424657534
83,0,equal allocation,0.2273972602739726
84,0,equal allocation,0.23013698630136986
85,0,equal allocation,0.2328767123287671
86,0,equal allocation,0.2356164383561644
87,0,equal allocation,0.23835616438356164
88,0,equal allocation,0.2410958904109589
89,0,equal allocation,0.24383561643835616
90,0,equal allocation,0.2465753424657534
91,0,equal allocation,0.2493150684931507
92,0,equal allocation,0.25205479452054796
93,0,equal allocation,0.2547945205479452
94,0,equal allocation,0.25753424657534246
95,0,equal allocation,0.2602739726027397
96,0,equal allocation,0.26301369863013696
97,0,equal allocation,0.26575342465753427
98,0,equal allocation,0.2684931506849315
99,0,equal allocation,0.27123287671232876
100,0,equal allocation,0.273972602739726
101,0,equal allocation,0.27671232876712326
102,0,equal allocation,0.27945205479452057
103,0,equal allocation,0.2821917808219178
104,0,equal allocation,0.28493150684931506
105,0,equal allocation,0.2876712328767123
106,0,equal allocation,0.29041095890410956
107,0,equal allocation,0.29315068493150687
108,0,equal allocation,0.2958904109589041
109,0,equal allocation,0.29863013698630136
110,0,equal allocation,0.3013698630136986
111,0,equal allocation,0.3041095890410959
112,0,equal allocation,0.30684931506849317
113,0,equal allocation,0.3095890410958904
114,0,equal allocation,0.31232876712328766
115,0,equal allocation,0.3150684931506849
116,0,equal allocation,0.3178082191780822
117,0,equal allocation,0.32054794520547947
118,0,equal allocation,0.3232876712328767
119,0,equal allocation,0.32602739726027397
120,0,equal allocation,0.3287671232876712
121,0,equal allocation,0.3315068493150685
122,0,equal allocation,0.33424657534246577
123,0,equal allocation,0.336986301369863
124,0,equal allocation,0.33972602739726027
125,0,equal allocation,0.3424657534246575
126,0,equal allocation,0.3452054794520548
127,0,equal allocation,0.34794520547945207
128,0,equal allocation,0.3506849315068493
129,0,equal allocation,0.35342465753424657
130,0,equal allocation,0.3561643835616438
131,0,equal allocation,0.3589041095890411
132,0,equal allocation,0.36164383561643837
133,0,equal allocation,0.3643835616438356
134,0,equal allocation,0.36712328767123287
135,0,equal allocation,0.3698630136986301
136,0,equal allocation,0.3726027397260274
137,0,equal allocation,0.37534246575342467
138,0,equal allocation,0.3780821917808219
139,0,equal allocation,0.38082191780821917
140,0,equal allocation,0.3835616438356164
141,0,equal allocation,0.3863013698630137
142,0,equal allocation,0.38904109589041097
143,0,equal allocation,0.3917808219178082
144,0,equal allocation,0.39452054794520547
145,0,equal allocation,0.3972602739726027
146,0,equal allocation,0.4
147,0,equal allocation,0.40273972602739727
148,0,equal allocation,0.4054794520547945
149,0,equal allocation,0.40821917808219177
150,0,equal allocation,0.410958904109589
151,0,equal allocation,0.4136986301369863
152,0,equal allocation,0.41643835616438357
153,0,equal allocation,0.4191780821917808
154,0,equal allocation,0.42191780821917807
155,0,equal allocation,0.4246575342465753
156,0,equal allocation,0.4273972602739726
157,0,equal allocation,0.4301369863013699
158,0,equal allocation,0.4328767123287671
159,0,equal allocation,0.43561643835616437
160,0,equal allocation,0.4383561643835616
161,0,equal allocation,0.4410958904109589
162,0,equal allocation,0.4438356164383562
163,0,equal allocation,0.4465753424657534
164,0,equal allocation,0.44931506849315067
165,0,equal allocation,0.4520547945205479
166,0,equal allocation,0.4547945205479452
167,0,equal allocation,0.4575342465753425
168,0,equal allocation,0.4602739726027397
169,0,equal allocation,0.46301369863013697
170,0,equal allocation,0.4657534246575342
171,0,equal allocation,0.4684931506849315
172,0,equal allocation,0.4712328767123288
173,0,equal allocation,0.473972602739726
174,0,equal allocation,0.4767123287671233
175,0,equal allocation,0.4794520547945205
176,0,equal allocation,0.4821917808219178
177,0,equal allocation,0.4849315068493151
178,0,equal allocation,0.4876712328767123
179,0,equal allocation,0.4904109589041096
180,0,equal allocation,0.4931506849315068
181,0,equal allocation,0.4958904109589041
182,0,equal allocation,0.4986301369863014
183,0,equal allocation,0.5013698630136987
184,0,equal allocation,0.5041095890410959
185,0,equal allocation,0.5068493150684932
186,0,equal allocation,0.5095890410958904
187,0,equal allocation,0.5123287671232877
