Years,0,1,2,3,Strategy
0,1000,0,0,0,Equal Allocation
0.0027397260273972603,1000,0,0,0,Equal Allocation
0.005479452054794521,1000,0,0,0,Equal Allocation
0.00821917808219178,1000,0,0,0,Equal Allocation
0.010958904109589041,1000,0,0,0,Equal Allocation
0.0136986301369863,1000,0,0,0,Equal Allocation
0.01643835616438356,1000,0,0,0,Equal Allocation
0.019178082191780823,1000,0,0,0,Equal Allocation
0.021917808219178082,1000,0,0,0,Equal Allocation
0.024657534246575342,1000,0,0,0,Equal Allocation
0.0273972602739726,1000,0,0,0,Equal Allocation
0.030136986301369864,1000,0,0,0,Equal Allocation
0.03287671232876712,1000,0,0,0,Equal Allocation
0.03561643835616438,1000,0,0,0,Equal Allocation
0.038356164383561646,1000,0,0,0,Equal Allocation
0.0410958904109589,1000,0,0,0,Equal Allocation
0.043835616438356165,1000,0,0,0,Equal Allocation
0.04657534246575343,1000,0,0,0,Equal Allocation
0.049315068493150684,1000,0,0,0,Equal Allocation
0.052054794520547946,1000,0,0,0,Equal Allocation
0.0547945205479452,1000,0,0,0,Equal Allocation
0.057534246575342465,1000,0,0,0,Equal Allocation
0.06027397260273973,1000,0,0,0,Equal Allocation
0.06301369863013699,1000,0,0,0,Equal Allocation
0.06575342465753424,1000,0,0,0,Equal Allocation
0.0684931506849315,1000,0,0,0,Equal Allocation
0.07123287671232877,1000,0,0,0,Equal Allocation
0.07397260273972603,1000,0,0,0,Equal Allocation
0.07671232876712329,1000,0,0,0,Equal Allocation
0.07945205479452055,1000,0,0,0,Equal Allocation
0.0821917808219178,1000,0,0,0,Equal Allocation
0.08493150684931507,1000,0,0,0,Equal Allocation
0.08767123287671233,1000,0,0,0,Equal Allocation
0.09041095890410959,1000,0,0,0,Equal Allocation
0.09315068493150686,1000,0,0,0,Equal Allocation
0.0958904109589041,1000,0,0,0,Equal Allocation
0.09863013698630137,1000,0,0,0,Equal Allocation
0.10136986301369863,1000,0,0,0,Equal Allocation
0.10410958904109589,1000,0,0,0,Equal Allocation
0.10684931506849316,1000,0,0,0,Equal Allocation
0.1095890410958904,1000,0,0,0,Equal Allocation
0.11232876712328767,1000,0,0,0,Equal Allocation
0.11506849315068493,1000,0,0,0,Equal Allocation
0.1178082191780822,1000,0,0,0,Equal Allocation
0.12054794520547946,1000,0,0,0,Equal Allocation
0.1232876712328767,1000,0,0,0,Equal Allocation
0.12602739726027398,1000,0,0,0,Equal Allocation
0.12876712328767123,1000,0,0,0,Equal Allocation
0.13150684931506848,1000,0,0,0,Equal Allocation
0.13424657534246576,1000,0,0,0,Equal Allocation
0.136986301369863,1000,0,0,0,Equal Allocation
0.13972602739726028,1000,0,0,0,Equal Allocation
0.14246575342465753,1000,0,0,0,Equal Allocation
0.14520547945205478,1000,0,0,0,Equal Allocation
0.14794520547945206,1000,0,0,0,Equal Allocation
0.1506849315068493,1000,0,0,0,Equal Allocation
0.15342465753424658,1000,0,0,0,Equal Allocation
0.15616438356164383,1000,0,0,0,Equal Allocation
0.1589041095890411,1000,0,0,0,Equal Allocation
0.16164383561643836,1000,0,0,0,Equal Allocation
0.1643835616438356,1000,0,0,0,Equal Allocation
0.16712328767123288,1000,0,0,0,Equal Allocation
0.16986301369863013,1000,0,0,0,Equal Allocation
0.1726027397260274,1000,0,0,0,Equal Allocation
0.17534246575342466,1000,0,0,0,Equal Allocation
0.1780821917808219,1000,0,0,0,Equal Allocation
0.18082191780821918,1000,0,0,0,Equal Allocation
0.18356164383561643,1000,0,0,0,Equal Allocation
0.1863013698630137,1000,0,0,0,Equal Allocation
0.18904109589041096,1000,0,0,0,Equal Allocation
0.1917808219178082,1000,0,0,0,Equal Allocation
0.19452054794520549,1000,0,0,0,Equal Allocation
0.19726027397260273,1000,0,0,0,Equal Allocation
0.2,1000,0,0,0,Equal Allocation
