step,E_a,E_b,E_c,prevA,prevB,prevC,run
0,1,0,0,6.666666666666667e-5,0,0,det
1,1,0,0,6.803706913626363e-5,0,0,det
2,1,0,0,6.941328817252678e-5,0,0,det
3,1,0,0,7.079428137087759e-5,0,0,det
4,1,0,0,7.217910100427713e-5,0,0,det
5,1,0,0,7.3566886026279e-5,0,0,det
6,1,0,0,7.495685486050429e-5,0,0,det
7,1,0,0,7.634829888128723e-5,0,0,det
8,1,0,0,7.774057650380358e-5,0,0,det
9,1,0,0,7.913310781346728e-5,0,0,det
10,1,0,0,8.052536967400107e-5,0,0,det
11,1,0,0,8.191689126175137e-5,0,0,det
12,1,0,0,8.330724998076738e-5,0,0,det
13,1,0,0,8.46960677190296e-5,0,0,det
14,1,0,0,8.608300741125028e-5,0,0,det
15,1,0,0,8.746776987797987e-5,0,0,det
16,1,0,0,8.885009091440342e-5,0,0,det
17,1,0,0,9.022973860540686e-5,0,0,det
18,1,0,0,9.16065108462044e-5,0,0,det
19,1,0,0,9.298023305017289e-5,0,0,det
20,1,0,0,9.435075602757719e-5,0,0,det
21,1,0,0,9.57179540206441e-5,0,0,det
22,1,0,0,9.708172288197338e-5,0,0,det
23,1,0,0,9.844197838461104e-5,0,0,det
24,1,0,0,9.979865465331053e-5,0,0,det
25,1,0,0,1.0115170270748947e-4,0,0,det
26,1,0,0,1.0250108910734763e-4,0,0,det
27,1,0,0,1.0384679469535651e-4,0,0,det
28,1,0,0,1.0518881342607839e-4,0,0,det
29,1,0,0,1.0652715127787441e-4,0,0,det
30,1,0,0,1.0786182524061182e-4,0,0,det
31,1,0,0,1.0919286237400458e-4,0,0,det
32,1,0,0,1.1052029893161832e-4,0,0,det
33,1,0,0,1.1184417954602363e-4,0,0,det
34,1,0,0,1.1316455647087752e-4,0,0,det
35,1,0,0,1.1448148887608541e-4,0,0,det
36,1,0,0,1.1579504219246862e-4,0,0,det
37,1,0,0,1.1710528750259828e-4,0,0,det
38,1,0,0,1.1841230097476187e-4,0,0,det
39,1,0,0,1.1971616333716879e-4,0,0,det
40,1,0,0,1.2101695938977034e-4,0,0,det
41,1,0,0,1.2231477755120186e-4,0,0,det
42,1,0,0,1.2360970943855502e-4,0,0,det
43,1,0,0,1.2490184947783477e-4,0,0,det
44,1,0,0,1.261912945430695e-4,0,0,det
45,1,0,0,1.2747814362224166e-4,0,0,det
46,1,0,0,1.2876249750824436e-4,0,0,det
47,1,0,0,1.300444585132558e-4,0,0,det
48,1,0,0,1.3132413020498407e-4,0,0,det
49,1,0,0,1.3260161716334448e-4,0,0,det
50,1,0,0,1.338770247562259e-4,0,0,det
51,1,0,0,1.3515045893310604e-4,0,0,det
52,1,0,0,1.3642202603528786e-4,0,0,det
53,1,0,0,1.3769183262170314e-4,0,0,det
54,1,0,0,1.3895998530921683e-4,0,0,det
55,1,0,0,1.402265906264546e-4,0,0,det
56,1,0,0,1.4149175488026923e-4,0,0,det
57,1,0,0,1.4275558403395973e-4,0,0,det
58,1,0,0,1.4401818359646238e-4,0,0,det
59,1,0,0,1.4527965852176083e-4,0,0,det
60,1,0,0,1.4654011311779138e-4,0,0,det
61,1,0,0,1.4779965096421932e-4,0,0,det
62,1,0,0,1.4905837483842862e-4,0,0,det
63,1,0,0,1.5031638664917294e-4,0,0,det
64,1,0,0,1.515737873773351e-4,0,0,det
65,1,0,0,1.5283067702327843e-4,0,0,det
66,1,0,0,1.5408715456033493e-4,0,0,det
67,1,0,0,1.5534331789396222e-4,0,0,det
68,1,0,0,1.565992638261601e-4,0,0,det
69,1,0,0,1.5785508802475785e-4,0,0,det
70,1,0,0,1.591108849972149e-4,0,0,det
71,1,0,0,1.60366748068565e-4,0,0,det
72,1,0,0,1.6162276936322023e-4,0,0,det
73,1,0,0,1.6287903979030562e-4,0,0,det
74,1,0,0,1.6413564903227344e-4,0,0,det
75,1,0,0,1.653926855365023e-4,0,0,det
76,1,0,0,1.666502365096736e-4,0,0,det
77,1,0,0,1.6790838791467725e-4,0,0,det
78,1,0,0,1.6916722446982658e-4,0,0,det
79,1,0,0,1.7042682965021487e-4,0,0,det
80,1,0,0,1.7168728569100556e-4,0,0,det
81,1,0,0,1.7294867359248184e-4,0,0,det
82,1,0,0,1.742110731267183e-4,0,0,det
83,1,0,0,1.7547456284569977e-4,0,0,det
84,1,0,0,1.7673922009077222e-4,0,0,det
85,1,0,0,1.7800512100327613e-4,0,0,det
86,1,0,0,1.7927234053626326e-4,0,0,det
87,1,0,0,1.80540952467161e-4,0,0,det
88,1,0,0,1.8181102941131476e-4,0,0,det
89,1,0,0,1.8308264283627303e-4,0,0,det
90,1,0,0,1.8435586307676425e-4,0,0,det
91,1,0,0,1.856307593502517e-4,0,0,det
92,1,0,0,1.869073997730229e-4,0,0,det
93,1,0,0,1.8818585137670308e-4,0,0,det
94,1,0,0,1.894661801251657e-4,0,0,det
95,1,0,0,1.9074845093176556e-4,0,0,det
96,1,0,0,1.920327276768245e-4,0,0,det
97,1,0,0,0.00019331907322534566,0,0,det
98,1,0,0,1.9460754944489292e-4,0,0,det
99,1,0,0,1.9589821722358858e-4,0,0,det
100,1,0,0,1.9719113648820997e-4,0,0,det
101,1,0,0,1.9848636622232308e-4,0,0,det
102,1,0,0,1.9978396448443712e-4,0,0,det
103,1,0,0,2.010839884261548e-4,0,0,det
104,1,0,0,2.023864943102602e-4,0,0,det
105,1,0,0,2.0369153752876758e-4,0,0,det
106,1,0,0,2.0499917262084872e-4,0,0,det
107,1,0,0,2.063094532906788e-4,0,0,det
108,1,0,0,2.0762243242513896e-4,0,0,det
109,1,0,0,2.0893816211136986e-4,0,0,det
110,1,0,0,2.1025669365417961e-4,0,0,det
111,1,0,0,2.1157807759325837e-4,0,0,det
112,1,0,0,2.1290236372021533e-4,0,0,det
113,1,0,0,2.1422960109542506e-4,0,0,det
114,1,0,0,2.1555983806465217e-4,0,0,det
115,1,0,0,2.168931222754688e-4,0,0,det
116,1,0,0,2.1822950069345348e-4,0,0,det
117,1,0,0,2.1956901961814814e-4,0,0,det
118,1,0,0,2.2091172469879196e-4,0,0,det
119,1,0,0,2.2225766094981927e-4,0,0,det
120,1,0,0,2.2360687276610402e-4,0,0,det
121,1,0,0,2.2495940393796145e-4,0,0,det
122,1,0,0,2.2631529766590984e-4,0,0,det
123,1,0,0,0.00022767459657517294,0,0,det
124,1,0,0,2.290373427299436e-4,0,0,det
125,1,0,0,2.3040357764738396e-4,0,0,det
