step,parameter_comb,prop_A_seq_minus_ea,prop_B_seq_minus_ea,prop_C_seq_minus_ea
730,1,0,0,0
1000,1,0,0,0
1825,1,0,0,0
3650,1,0,0,0
5000,1,0.72,0,0
7300,1,1,0,0
10000,1,1,0,0
730,2,1,0,0
1000,2,1,0,0
1825,2,1,1,0
3650,2,1,1,1
5000,2,1,1,1
7300,2,0.99,0.99,1
10000,2,0.53,0.99,0.99
730,3,0.02,0,0
1000,3,1,0,0
1825,3,1,0,0
3650,3,1,1,0.17
5000,3,0,0.98,0.97
7300,3,0,0.050000000000000044,0.31999999999999995
10000,3,0,0,0
730,4,0,0,0
1000,4,0,0,0
1825,4,0,0,0
3650,4,1,0,0
5000,4,1,0,0
7300,4,1,0.32,0
10000,4,0.71,1,0
730,5,0,0,0
1000,5,0,0,0
1825,5,0,0,0
3650,5,1,0,0
5000,5,1,0,0
7300,5,1,0,0
10000,5,1,0.27,0
730,6,1,0.77,0
1000,6,1,1,0
1825,6,0.98,1,0.99
3650,6,0,0.06999999999999995,0.30000000000000004
5000,6,0,0,0.010000000000000009
7300,6,0,0,0
10000,6,0,0,0
730,7,0.81,0,0
1000,7,1,0,0
1825,7,1,0.16,0
3650,7,0.38,0.99,0.53
5000,7,0,0.77,0.95
7300,7,0,0,0.050000000000000044
10000,7,0,0,0
730,8,0,0,0
1000,8,0,0,0
1825,8,0,0,0
3650,8,0,0,0
5000,8,0,0,0
7300,8,0,0,0
10000,8,0,0,0
730,9,0,0,0
1000,9,0,0,0
1825,9,0,0,0
3650,9,1,0,0
5000,9,1,0,0
7300,9,0.95,1,0
10000,9,0,1,0.25
730,10,1,1,0
1000,10,0.15000000000000002,1,0.73
1825,10,0,0,0.09999999999999998
3650,10,0,0,0
5000,10,0,0,0
7300,10,0,0,0
10000,10,0,0,0
730,11,1,0,0
1000,11,0.98,0.96,0
1825,11,0,0.47,0.55
3650,11,0,0,0.010000000000000009
5000,11,0,0,0
7300,11,0,0,0
10000,11,0,0,0
730,12,1,1,0
1000,12,1,1,0
1825,12,0,0.9299999999999999,0.99
3650,12,0,0,0
5000,12,0,0,0
7300,12,0,0,0
10000,12,0,0,0
730,13,0,0,0
1000,13,0,0,0
1825,13,0.99,0,0
3650,13,1,0.01,0
5000,13,1,0.59,0
7300,13,0.94,0.99,0.02
10000,13,0.28,1,0.28
730,14,0,0,0
1000,14,0,0,0
1825,14,0.99,0,0
3650,14,1,0.01,0
5000,14,1,0.98,0
7300,14,0.81,1,0.12
10000,14,0,1,0.78
730,15,1,1,0
1000,15,1,1,0
1825,15,1,1,1
3650,15,0.98,0.98,0.98
5000,15,0.31999999999999995,0.95,0.97
7300,15,0,0.33999999999999997,0.52
10000,15,NA,NA,NA
730,16,1,0,0
1000,16,1,0.69,0
1825,16,1,1,0.19
3650,16,1,1,1
5000,16,1,1,1
7300,16,1,1,1
10000,16,1,1,1
730,17,0,0,0
1000,17,0,0,0
1825,17,0,0,0
3650,17,0,0,0
5000,17,0.52,0,0
7300,17,1,0,0
10000,17,1,0,0
730,18,0.04,0,0
1000,18,1,0,0
1825,18,1,0,0
3650,18,0.07999999999999996,1,0.05
5000,18,0,0.9299999999999999,0.59
7300,18,0,0.15000000000000002,0.6399999999999999
10000,18,0,0.020000000000000018,0.08999999999999997
730,19,0,0,0
1000,19,0,0,0
1825,19,0,0,0
3650,19,0,0,0
5000,19,0.96,0,0
7300,19,1,0,0
10000,19,1,0,0
730,20,0,0,0
1000,20,0.91,0,0
